City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,itoman,26.1247,127.6694,288.2,82,100,6.69,JP,1743360585
1,beinamar,8.6698,15.3813,305.61,9,100,1.84,TD,1743360586
2,turpan,42.9333,89.1667,284.39,13,100,0.33,CN,1743360588
3,petropavlovsk-kamchatsky,53.0452,158.6483,265.48,68,0,3.0,RU,1743360589
4,port-aux-francais,-49.35,70.2167,279.23,90,58,9.22,TF,1743360590
5,ushuaia,-54.8,-68.3,278.96,81,75,16.98,AR,1743360561
6,grytviken,-54.2811,-36.5092,280.25,83,100,4.34,GS,1743360592
7,st. john's,47.5649,-52.7093,276.9,76,75,6.17,CA,1743360593
8,waitangi,-43.9535,-176.5597,288.05,95,100,2.24,NZ,1743360595
9,adamstown,-25.066,-130.1015,298.23,79,6,4.52,PN,1743360596
10,smithers,54.7804,-127.1743,276.33,70,75,2.57,CA,1743360598
11,papatowai,-46.5619,169.4708,280.65,81,100,1.49,NZ,1743360599
12,sibolga,1.7427,98.7792,297.85,86,100,1.24,ID,1743360600
13,beyneu,45.3167,55.2,286.47,45,1,7.51,KZ,1743360602
14,west island,-12.1568,96.8225,299.14,89,20,1.54,CC,1743360603
15,tiksi,71.6872,128.8694,251.19,100,98,1.56,RU,1743360604
16,college,64.8569,-147.8028,265.32,64,0,0.0,US,1743360605
17,bafq,31.6128,55.4107,296.39,16,19,2.33,IR,1743360606
18,peace river,56.2501,-117.286,273.32,64,0,2.06,CA,1743360607
19,vorgashor,67.5833,63.95,273.18,99,100,3.53,RU,1743360608
20,wailua homesteads,22.0669,-159.378,295.59,93,20,3.09,US,1743360610
21,faya-largeau,17.9257,19.1043,303.7,12,0,1.71,TD,1743360611
22,kone,-21.0595,164.8658,296.53,94,100,1.95,NC,1743360612
23,labytnangi,66.6572,66.4183,274.82,98,100,6.68,RU,1743360613
24,albany,42.6001,-73.9662,280.12,83,100,4.64,US,1743360574
25,colby,39.3958,-101.0524,279.26,82,100,5.66,US,1743360615
26,roma,43.2128,-75.4557,287.97,87,100,6.17,US,1743360526
27,kodiak,57.79,-152.4072,275.88,70,100,8.75,US,1743360617
28,lompoc,34.6391,-120.4579,287.6,91,100,8.23,US,1743360619
29,avarua,-21.2078,-159.775,300.18,89,40,7.2,CK,1743360620
